frame_idx,x_pred,y_pred,dx,dir_label
295,1.6681722402572632,0.1412603259086609,-0.000118255615234375,DURAGAN
296,1.6680539846420288,0.1447819471359253,0.0005469322204589844,DURAGAN
297,1.6686009168624878,0.1481626033782959,0.0009367465972900391,DURAGAN
298,1.6695376634597778,0.1515033543109893,0.0009913444519040748,DURAGAN
299,1.670529007911682,0.1546476781368255,0.0008006095886232689,DURAGAN
300,1.6713296175003052,0.1573365032672882,0.0006073713302612305,DURAGAN
301,1.6719369888305664,0.1593495011329651,0.0008531808853147194,DURAGAN
302,1.6727901697158811,0.1600265502929687,0.0032025575637819603,DURAGAN
303,1.675992727279663,0.1544598340988159,0.011534333229064941,DURAGAN
304,1.687527060508728,0.1263394057750702,0.019142150878906472,DURAGAN
305,1.7066692113876345,0.0880652293562889,0.01862049102783181,DURAGAN
306,1.7252897024154663,0.0657653287053108,0.013208746910095215,DURAGAN
307,1.7384984493255615,0.0527322813868522,0.007365703582763672,DURAGAN
308,1.7458641529083252,0.0431435629725456,0.0027347803115844727,DURAGAN
309,1.7485989332199097,0.0351692959666252,-0.0005548000335693359,DURAGAN
310,1.7480441331863403,0.02841267734766,-0.00220489501953125,DURAGAN
311,1.745839238166809,0.0234725847840309,-0.001584768295288086,DURAGAN
312,1.744254469871521,0.0226593241095542,0.0005654096603393555,DURAGAN
313,1.7448198795318604,0.030264563858509,-0.0002645254135131836,DURAGAN
314,1.7445553541183472,0.0472803488373756,-0.0034580230712890625,DURAGAN
315,1.741097331047058,0.0707420781254768,-0.006766915321350098,DURAGAN
316,1.734330415725708,0.0936938598752021,-0.008394360542297363,DURAGAN
317,1.7259360551834106,0.1125863417983055,-0.008438110351562722,DURAGAN
318,1.717497944831848,0.1274079233407974,-0.008092641830444114,DURAGAN
319,1.7094053030014038,0.1392463147640228,-0.008037567138671875,DURAGAN
320,1.701367735862732,0.1494239866733551,-0.0071985721588134766,DURAGAN
321,1.6941691637039185,0.1604677438735962,-0.006845951080322266,DURAGAN
322,1.6873232126235962,0.183528333902359,-0.08395397663116455,DURAGAN
323,1.6033692359924316,0.3344678282737732,-0.07475244998931885,DURAGAN
324,1.5286167860031128,0.4670674800872803,-0.05176997184753418,DURAGAN
325,1.4768468141555786,0.5630970001220703,-0.037741661071777344,DURAGAN
326,1.4391051530838013,0.6330711841583252,-0.033951163291931374,DURAGAN
327,1.40515398979187,0.6839334964752197,-0.041441082954406516,DURAGAN
328,1.3637129068374634,0.7199701070785522,-0.039312124252319336,DURAGAN
329,1.324400782585144,0.7437683343887329,-0.02604198455810547,DURAGAN
