frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
112,1.8686817536490736,1647.4269409179688,509.072998046875,1617.6852496831266,511.56070634197573,415.963089227762,-3753.365974964503,492.807097648076
113,1.8853664121637976,1649.685546875,509.09124755859375,1624.0853091215015,511.06681458529937,353.0184173980595,-3810.8481362344955,289.71958195414015
114,1.9020510706785216,1650.7836303710938,508.67083740234375,1629.42497337142,510.5876191487083,288.43266656585735,-3849.620443684369,383.4301801348505
115,1.9187357291932452,1650.6869506835938,509.0175323486328,1633.6773688338549,510.27360178869327,223.95154553108907,-3875.3542939075905,388.32542061013834
116,1.9354203877079692,1649.6810302734375,509.11302185058594,1636.8781011217716,510.0414858010718,158.50278836677927,-4013.066292035886,322.2807420502954
117,1.9521050462226928,1647.2584838867188,509.3980255126953,1638.9541776747612,509.91279374339655,89.61533559926191,-4038.1438264125986,288.2952703007186
118,1.968789704737417,1643.4964599609375,509.6199035644531,1639.8626341319966,509.85421570760786,23.41383684894276,-4040.424440873705,278.62246175679616
119,1.985474363252141,1639.2218017578125,509.9481658935547,1639.73446765716,509.8730057447973,45.536145573439136,-4021.419903604562,400.67373053680046
120,2.002159021766865,1632.8026733398438,510.3939514160156,1638.3481087936968,509.977194879041,111.47574324598274,-3838.509703704701,501.2472535681006
121,2.018843680281589,1626.7918701171875,511.4880828857422,1636.036861058395,510.2793724803813,174.67193712145016,-4093.228050088396,429.6843087550913
122,2.035528338796313,1618.6493530273438,512.1741027832031,1632.559359452185,510.65831854094574,248.81375234510577,-4106.110159219007,494.4893212331002
123,2.0522129973110363,1608.6695556640625,513.1877136230469,1627.7813986945607,511.164197557366,312.6797406557633,-3548.2218651194,577.5686524875315
124,2.06889765582576,1599.866455078125,514.7935180664062,1622.1984099712736,511.8900616591741,368.65325895046817,-3594.69316420418,494.5372443302872
125,2.0855823143404844,1589.0811157226562,515.9005126953125,1615.5749511215502,512.6921518664018,433.74727011769664,-3935.656107749026,782.4659709088785
126,2.102266972855208,1576.8738403320312,517.5937805175781,1607.8347289636465,513.6724775966371,502.30119484530405,-3925.8532797815606,1159.0753258624522
127,2.118951631369932,1563.5916137695312,520.7670440673828,1598.9861059248235,515.0913908907862,568.9514580488296,-3846.7099629024124,1044.135778425677
128,2.135636289884656,1549.5534057617188,523.3621215820312,1589.0995658922027,516.7455370290352,634.5332943171916,-3781.1698921070274,573.1725541543406
129,2.1523209483993795,1534.1712646484375,526.2842864990234,1578.11390564345,518.6532869230329,696.5602490696062,-3640.2363882029895,128.91866196399724
130,2.169005606914104,1518.3145141601562,527.6710052490234,1566.1540273467913,520.456830588231,755.1717551228498,-3752.3882832957715,-37.44457111434667
131,2.1856902654288275,1501.3251953125,529.9663543701172,1553.1882609399331,522.3587353446082,820.2436533459861,-3738.4908622247567,56.523182049336356
132,2.2023749239435517,1482.3977661132812,531.1972045898438,1539.0301619746028,524.1264291936554,878.9984063721562,-3233.3960625076434,225.1073569331511
133,2.219059582458275,1464.378173828125,534.1298980712891,1524.0997643453074,526.1271229691822,928.1994270461297,-3152.235945600165,-154.52972207230596
134,2.235744240972999,1445.1303100585938,535.7249450683594,1508.3058734879648,528.0466873890177,982.8286976065299,-3384.099587721528,-465.2993297883463
135,2.252428899487723,1424.2825927734375,536.4304504394531,1491.5012173450593,529.7234399991048,1038.6757187940223,-3186.9393163747336,-257.4331456700188
136,2.269113558002447,1403.0618896484375,538.3503875732422,1473.813351805735,531.4488295139323,1087.7789629730241,-2920.998813158829,-166.67557519122556
137,2.28579821651717,1381.5164794921875,539.3701934814453,1455.3539773430255,533.033102307435,1135.2312733538424,-2820.953381892552,-10.260084353450111
138,2.3024828750318944,1358.9254150390625,541.1944732666016,1436.068264882233,534.6653764992684,1181.5226228871004,-2796.4428427037637,230.96947813321776
139,2.319167533546618,1336.0548095703125,542.9951934814453,1416.0655738198489,536.3313398957038,1228.864114814448,-2838.981655816846,295.17765733257284
140,2.3358521920613424,1311.7842407226562,545.3701934814453,1395.2093072004104,538.1391106128522,1276.7508259706951,-2621.2664861848607,42.68155788744116
141,2.352536850576066,1287.242431640625,547.23486328125,1373.6159320884533,539.9582611465318,1316.1538593140706,-2262.275088806193,63.982830120271046
142,2.36922150909079,1262.6939697265625,548.4688110351562,1351.4315396160753,541.6603711242567,1352.1559497264402,-1979.3464404915358,457.8757928174555
143,2.3859061676055138,1237.5099487304688,551.6406555175781,1328.6472214389541,543.656428002921,1383.251348981629,-1859.823551837384,147.0696244120286
144,2.4025908261202376,1212.6598510742188,553.8316955566406,1305.4497473660072,545.6914815136649,1414.4104355840827,-1989.8822870501099,-465.7791015280045
145,2.419275484634962,1186.2388916015625,554.8258666992188,1281.6075762131184,547.5183585507757,1448.197658934494,-2116.1012282867086,-548.9300476881713
146,2.4359601431496856,1159.8306884765625,555.9462738037109,1257.252198665807,549.2039416013628,1483.4823982133864,-2014.4702252390562,-336.2897456166056
147,2.4526448016644093,1132.049346923828,557.0294799804688,1232.2116283174114,550.769049277184,1514.5110635596152,-1713.9892261918794,-435.3488511021533
148,2.469329460179133,1105.2110595703125,558.6334991455078,1206.8115145679917,552.3419392508488,1539.7078203752408,-1239.6779891362312,-825.6859031693389
149,2.4860141186938574,1077.2896118164062,558.3071136474609,1180.9071340176747,553.5349741301712,1554.378513335387,-970.2830102838707,-679.9991985435404
150,2.502698777208581,1051.3236389160156,558.6627349853516,1154.9904349973428,554.5605263012073,1571.006517418142,-991.3683508286631,-450.748344859948
151,2.519383435723305,1022.6493530273438,559.4764556884766,1128.522218603343,555.5437121786613,1586.8713489920317,-624.2260700209226,-577.5960464535783
152,2.5360680942380287,996.2384033203124,559.2111511230469,1102.0654555467368,556.2771999675384,1591.2091108765587,-582.4996437256632,-473.94664293862365
153,2.5527527527527525,968.9492797851562,559.4376525878906,1075.4422203944207,556.9092904916089,1605.8701572648015,-574.1352625895379,-424.7262962571838
154,2.5694374112674767,940.690399169922,559.6934814453125,1048.491856149521,557.4661286823497,1610.0635251786239,-93.4243932420286,-372.6662366144725
155,2.5861220697822005,914.6471557617188,559.1451416015625,1021.7229160719606,557.8019312661922,1608.7595657202623,-207.08058624135447,-228.5092197391142
156,2.6028067282969243,887.1794738769531,559.9927215576172,994.8142276329593,558.2400893244773,1616.8645414834816,-307.9979931595226,-341.9904880230948
157,2.619491386811648,859.6082153320312,559.2402648925781,967.7730251727737,558.4401244380974,1618.9129173358529,115.33606050662638,-229.0237500287248
158,2.636176045326372,832.8760986328125,559.4057006835938,940.7936398647815,558.6332396871967,1612.9436149779194,543.0419203972197,-121.14849408633373
159,2.652860703841096,806.583251953125,559.5835266113281,913.9515622824503,558.823297072023,1600.767815354672,635.7515813585851,-358.2600719655309
160,2.66954536235582,781.0824279785156,559.1642608642578,887.3777354216634,558.8914898304699,1591.6882145932957,639.9337732326167,-582.8105509553375
161,2.686230020870544,754.6791381835938,558.4717559814453,860.8380159740494,558.807543060665,1579.438355385286,847.9631043273985,-597.9207909600818
162,2.7029146793852674,730.0199584960938,557.2736968994141,834.6744044784583,558.5007738284148,1563.5256019478486,1127.0113206615715,-521.2197662187654
163,2.719599337899991,704.6458129882812,556.6268920898438,808.6686861804229,558.1259974807006,1542.061981293493,1479.2528394379697,-448.8497084204373
164,2.7362839964147154,681.455322265625,555.1443786621094,783.2260133974635,557.5296737169823,1514.4443801196292,1592.0952239646358,-436.243096595524
165,2.752968654929439,657.8285522460938,554.6045684814453,758.1465211671896,556.9446526698749,1489.300289490128,1656.6452809728726,-641.151754006238
166,2.769653313444163,635.1661071777344,552.58544921875,733.5504383692986,556.0728119796499,1459.8547017663952,1971.0873759568276,-787.9029531286671
167,2.7863379719588868,613.1434936523438,550.9556427001953,709.4690494259077,555.049378123759,1424.60476686933,1952.9434977574492,-659.8721768355758
168,2.8030226304736106,592.4722595214844,548.4955444335938,686.069691445023,553.738611385726,1395.8080459432833,1975.8630932099113,-243.19506453352778
169,2.819707288988335,570.55224609375,547.1421966552734,662.9662023747684,552.4193284396356,1359.1968979509206,2470.0023047702707,-69.9683118979624
170,2.8363919475030586,552.0806427001953,545.9907379150391,640.7890904398538,551.1336103347163,1313.66767020987,2554.898109116475,-254.23411611450274
171,2.8530766060177823,532.9122924804688,544.0223999023438,619.2137308479768,549.7113682482418,1274.6397709423195,2479.1876361097457,-239.33107094529942
172,2.869761264532506,514.9120635986328,542.3821105957031,598.353397398108,548.2455167177341,1231.659696561058,2665.0431128267373,-38.283793623679685
173,2.88644592304723,497.6957244873047,540.7024841308594,578.2218628159474,546.7369102003591,1186.0236392634138,2705.2137352777354,1.5894432574687016
174,2.903130581561954,481.5388488769531,539.6263275146484,558.8852600281485,545.3147936632171,1141.6398312879853,2735.9936057014856,-36.02336966072835
175,2.919815240076678,465.6703643798828,537.5619354248047,540.2422808984954,543.7642220155346,1095.0940106838093,2893.698552345031,184.27597259122786
176,2.9364998985914017,451.3492889404297,536.6629028320312,522.4636825068823,542.343958178834,1044.8946269883952,2873.8674614776864,233.40629790990624
177,2.953184557106125,437.56959533691406,535.6078033447266,505.4848650728886,540.9967272120125,998.8792596208962,2936.4704736070053,48.921827933666464
178,2.9698692156208493,424.271484375,534.1782073974609,489.2421889333109,539.6330232491022,947.1061529832507,3435.785703432128,-74.45748334673317
179,2.986553874135573,413.0174560546875,532.8864440917969,473.9972423575863,538.2837074176412,884.8900291780257,3642.731069581372,-96.16204221328599
180,3.0032385326502973,403.2434387207031,531.0610656738281,459.8464816302097,536.8391790688786,826.387309094785,3408.137052569862,56.965393054812466
181,3.019923191165021,393.4432830810547,529.9613342285156,446.5658419203788,535.463610100806,771.5441342692498,3315.6614633969366,173.48995812538442
182,3.036607849679745,384.9654998779297,528.6893920898438,434.245773511889,534.1087664986136,715.7555577173548,3491.179869596712,257.5503188166135
183,3.0532925081944686,377.1492462158203,527.7484130859375,422.8264680526753,532.8366958160784,654.8024686159143,3605.041693780193,330.2086735439475
184,3.069977166709193,371.3567962646485,526.9789123535156,412.53253369506996,531.665139123566,594.9800534062571,3529.283780480824,302.8020466676485
